Date,Game,CIB_Price_USD,Hype_Index,Google_Trend_Score,News_Mentions,Mercari_Listings,RA_Active_Achievements,HLTB_Main_Hours,Game_ID,Genre,Price_PAL_GBP,CeX_Cash_GBP,Price_US_USD,Price_JP_USD,Market_Cap_USD,Market_Signal,Rank
2026-09-24,Rule of Rose,426.49,79.6,,,,,,PS2-001,Horror,321.79,176.98,490.46,191.92,302807.9,SELL,1.0
2026-09-24,Kuon,374.43,71.7,,,,,,PS2-002,Horror,282.51,155.38,430.59,168.49,250868.1,HOLD,2.0
2026-09-24,Xenosaga Episode III,246.24,53.5,,,,,,PS2-011,RPG,185.79,102.18,283.18,110.81,147744.0,HOLD,3.0
2026-09-24,Blood Will Tell,175.01,51.8,,,,,,PS2-010,Action,132.05,72.63,201.26,78.75,134757.7,HOLD,4.0
2026-09-24,Echo Night Beyond,154.92,49.0,,,,,,PS2-021,Horror,116.89,64.29,178.16,69.71,117739.2,HOLD,5.0
2026-09-24,Devil Summoner 2 Abaddon King,196.29,46.0,,,,,,PS2-029,RPG,148.1,81.45,225.73,88.33,109922.4,HOLD,6.0
2026-09-24,Devil Summoner Raidou Kuzunoha,189.27,43.9,,,,,,PS2-028,RPG,142.81,78.55,217.66,85.17,100313.1,HOLD,7.0
2026-09-24,Silent Hill Shattered Memories,142.99,44.4,,,,,,PS2-008,Horror,107.89,59.34,164.44,64.35,97233.2,HOLD,8.0
2026-09-24,Wild Arms Alter Code F,141.63,40.6,,,,,,PS2-022,RPG,106.86,58.77,162.87,63.73,83561.7,HOLD,9.0
2026-09-24,Steambot Chronicles,117.32,39.3,,,,,,PS2-046,RPG,88.52,48.69,134.92,52.79,73911.6,BUY,10.0
2026-09-24,Dragon Ball Z Budokai Tenkaichi 3,104.85,37.8,,,,,,PS2-025,Fighting,79.11,43.51,120.58,47.18,66055.5,BUY,11.0
2026-09-24,Def Jam Fight for NY,100.06,34.0,,,,,,PS2-004,Fighting,75.5,41.53,115.07,45.03,55033.0,BUY,12.0
2026-09-24,God Hand,91.53,35.0,,,,,,PS2-014,Action,69.06,37.98,105.26,41.19,54918.0,BUY,13.0
2026-09-24,Michigan Report from Hell,113.57,32.4,,,,,,PS2-038,Horror,85.69,47.13,130.61,51.11,53377.9,BUY,14.0
2026-09-24,Haunting Ground,155.97,29.9,,,,,,PS2-003,Horror,117.68,64.72,179.37,70.19,43671.6,BUY,15.0
2026-09-24,Klonoa 2 Lunateas Veil,61.38,35.4,,,,,,PS2-045,Platformer,46.31,25.47,70.59,27.62,42966.0,BUY,16.0
2026-09-24,The X-Files Resist or Serve,73.0,30.4,,,,,,PS2-042,Horror,55.08,30.29,83.95,32.85,39420.0,BUY,17.0
2026-09-24,Champions Return to Arms,51.64,35.4,,,,,,PS2-031,RPG,38.96,21.43,59.39,23.24,37697.2,BUY,18.0
2026-09-24,Berserk Millennium Falcon,90.12,26.8,,,,,,PS2-044,Action,68.0,37.4,103.64,40.55,36048.0,BUY,19.0
2026-09-24,Suikoden V,112.07,26.2,,,,,,PS2-023,RPG,84.56,46.51,128.88,50.43,35862.4,BUY,20.0
2026-09-24,Glass Rose,59.01,31.1,,,,,,PS2-039,Adventure,44.52,24.49,67.86,26.55,35406.0,BUY,21.0
2026-09-24,Marvel vs Capcom 2,77.97,27.0,,,,,,PS2-009,Fighting,58.83,32.36,89.67,35.09,34306.8,BUY,22.0
2026-09-24,Resident Evil Dead Aim,68.24,28.2,,,,,,PS2-036,Horror,51.49,28.32,78.48,30.71,34120.0,BUY,23.0
2026-09-24,Futurama,58.09,28.2,,,,,,PS2-012,Action,43.83,24.11,66.8,26.14,30787.7,BUY,24.0
2026-09-24,Yakuza 2,39.76,35.6,,,,,,PS2-047,Action,30.0,16.5,45.72,17.89,30615.2,BUY,25.0
2026-09-24,Castlevania Curse of Darkness,79.32,24.7,,,,,,PS2-043,Action,59.85,32.92,91.22,35.69,30141.6,BUY,26.0
2026-09-24,Forbidden Siren 2,53.84,26.9,,,,,,PS2-040,Horror,40.62,22.34,61.92,24.23,27458.4,BUY,27.0
2026-09-24,Shin Megami Tensei Persona 4,33.49,35.6,,,,,,PS2-026,RPG,25.27,13.9,38.51,15.07,26457.1,BUY,28.0
2026-09-24,Silent Hill 4 The Room,52.54,25.9,,,,,,PS2-007,Horror,39.64,21.8,60.42,23.64,25744.6,BUY,29.0
2026-09-24,Metal Gear Solid 3 Subsistence,47.34,27.3,,,,,,PS2-032,Action,35.72,19.65,54.44,21.3,25563.6,BUY,30.0
2026-09-24,OutRun 2006 Coast 2 Coast,65.1,22.2,,,,,,PS2-013,Racing,49.12,27.02,74.86,29.29,23436.0,BUY,31.0
2026-09-24,Clock Tower 3,74.68,21.4,,,,,,PS2-015,Horror,56.35,30.99,85.88,33.61,23150.8,BUY,32.0
2026-09-24,Fatal Frame II Crimson Butterfly,78.02,21.0,,,,,,PS2-019,Horror,58.87,32.38,89.72,35.11,22625.8,BUY,33.0
2026-09-24,Fatal Frame III The Tormented,101.23,20.9,,,,,,PS2-020,Horror,76.38,42.01,116.41,45.55,22270.6,BUY,34.0
2026-09-24,Fatal Frame,64.53,20.9,,,,,,PS2-018,Horror,48.69,26.78,74.21,29.04,21294.9,BUY,35.0
2026-09-24,Baldurs Gate Dark Alliance II,57.93,21.0,,,,,,PS2-030,RPG,43.71,24.04,66.62,26.07,20275.5,BUY,36.0
2026-09-24,Zone of the Enders The 2nd Runner,26.06,31.9,,,,,,PS2-049,Action,19.66,10.81,29.97,11.73,18763.2,BUY,37.0
2026-09-24,Obscure,46.8,21.6,,,,,,PS2-016,Horror,35.31,19.42,53.82,21.06,18720.0,BUY,38.0
2026-09-24,Manhunt 2,58.73,19.4,,,,,,PS2-041,Action,44.31,24.37,67.54,26.43,18206.3,BUY,39.0
2026-09-24,Gregory Horror Show,84.28,17.3,,,,,,PS2-037,Horror,63.59,34.97,96.92,37.93,15170.4,BUY,40.0
2026-09-24,Shin Megami Tensei Persona 3 FES,40.68,19.7,,,,,,PS2-027,RPG,30.69,16.88,46.78,18.31,15051.6,BUY,41.0
2026-09-24,Silent Hill 3,66.49,15.2,,,,,,PS2-006,Horror,50.17,27.59,76.46,29.92,11968.2,BUY,42.0
2026-09-24,Silent Hill 2,59.48,15.1,,,,,,PS2-005,Horror,44.88,24.68,68.4,26.77,11896.0,BUY,43.0
2026-09-24,Atelier Iris 3 Grand Phantasm,58.97,14.3,,,,,,PS2-050,RPG,44.49,24.47,67.82,26.54,10614.6,BUY,44.0
2026-09-24,Suikoden IV,46.33,13.6,,,,,,PS2-024,RPG,34.96,19.23,53.28,20.85,9266.0,BUY,45.0
2026-09-24,God of War II,20.25,19.6,,,,,,PS2-034,Action,15.28,8.4,23.29,9.11,8707.5,BUY,46.0
2026-09-24,Shadow of the Colossus,23.18,14.0,,,,,,PS2-035,Adventure,17.49,9.62,26.66,10.43,6490.4,BUY,47.0
2026-09-24,Valkyrie Profile 2 Silmeria,37.88,10.9,,,,,,PS2-048,RPG,28.58,15.72,43.56,17.05,6060.8,BUY,48.0
2026-09-24,Obscure The Aftermath,38.59,10.6,,,,,,PS2-017,Horror,29.12,16.02,44.38,17.37,5788.5,BUY,49.0
2026-09-24,Grand Theft Auto San Andreas,15.79,15.5,,,,,,PS2-033,Action,11.91,6.55,18.16,7.11,5368.6,BUY,50.0
